title,price,location,type_de_vente,salon,chamber,toilete,area,link
Appartement location de vacances à Meknès,300 DH /Nuit,Meknès,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/autre_secteur/locations_de_vacances/Appartement_location_de_vacances_%C3%A0_Mekn%C3%A8s_53420721.htm
appartement à louer,2 400 DH,Casablanca,NaN,1,NaN,NaN,50,https://www.avito.ma/fr/al_qods/appartements/appartement_%C3%A0_louer_55734223.htm
Appartement beru à louer 150 m² à Temara,6 500 DH,Temara,NaN,1,NaN,NaN,150,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_beru_%C3%A0_louer_150_m%C2%B2_%C3%A0_Temara_55693572.htm
Appartement près a casanearshor sidi maarouf,3 000 DH,Casablanca,NaN,1,NaN,NaN,56,https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_pr%C3%A8s_a_casanearshor_sidi_maarouf_55721198.htm
Appartement 84 m²Al Baraka à Dcheïra El Jihadia,701 720 DH,Dcheïra El Jihadia,"Appartements, à vendre",1,3,2,84,https://www.avito.ma/fr/dche%C3%AFra_el_jihadia/appartements/Appartement_84_m%C2%B2Al_Baraka__%C3%A0_Dche%C3%AFra_El_Jihadia_52999322.htm
Appartement à vendre 79 m² à Casablanca,580 000 DH,Casablanca,"Appartements, à vendre",2,2,1,79,https://www.avito.ma/fr/sidi_moumen/appartements/Appartement_%C3%A0_vendre_79_m%C2%B2_%C3%A0_Casablanca_55223183.htm
Appartement 3 chambres vide à louer,6 800 DH,Mohammedia,NaN,1,NaN,NaN,95,https://www.avito.ma/fr/mimosas/appartements/Appartement_3_chambres_vide_%C3%A0_louer_55689921.htm
Appart. 79 m2 Angle Chouka Omarya-Hay Chrifa,760 000 DH,Casablanca,"Appartements, à vendre",2,2,1,79,https://www.avito.ma/fr/a%C3%AFn_chock/appartements/Appart__79_m2__Angle_Chouka__Omarya_Hay_Chrifa_55672086.htm
Appartement location de vacances à Agadir,NaN,Agadir,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/founty/locations_de_vacances/Appartement_location_de_vacances_%C3%A0_Agadir_52925782.htm
Appart. Haut Stand 104 m2 Résid. Fermée Californie,1 560 000 DH,الدار البيضاء,"Appartements, à vendre",1,3,2,104,https://www.avito.ma/fr/californie/appartements/Appart__Haut_Stand_104_m2_R%C3%A9sid__Ferm%C3%A9e_Californie_55625698.htm
CMN-MA-1136 - Bureau à vendre à Maârif,1 100 000 DH,Casablanca,NaN,NaN,1,91,NaN,https://www.avito.ma/fr/maarif/bureaux/CMN_MA_1136___Bureau_%C3%A0_vendre_%C3%A0_Ma%C3%A2rif_54562159.htm
Appartement de luxe 156m sans vis à vis,1 300 000 DH,الدار البيضاء,"Appartements, à vendre",1,4,2,106,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_de_luxe_156m_sans_vis_%C3%A0_vis_55687853.htm
Appartement à vendre 91 m² à Mohammedia,1 277 500 DH,Mohammedia,"Appartements, à vendre",1,2,2,91,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_91_m%C2%B2_%C3%A0_Mohammedia_55453790.htm
Appart. 2ème étage 82 m2 Lot chaoui Bd tah,880 000 DH,Casablanca,"Appartements, à vendre",2,2,2,82,https://www.avito.ma/fr/a%C3%AFn_chock/appartements/Appart__2%C3%A8me_%C3%A9tage_82_m2_Lot_chaoui_Bd_tah_55626029.htm
Appartement à louer 78 m² à Béni Yakhlef,2 600 DH,Béni Yakhlef,NaN,1,NaN,NaN,78,https://www.avito.ma/fr/b%C3%A9ni_yakhlef/appartements/Appartement_%C3%A0_louer_78_m%C2%B2_%C3%A0_B%C3%A9ni_Yakhlef_55734210.htm
appart 2ch a Hay chrifa bd el Qods,4 500 DH,Casablanca,NaN,1,NaN,NaN,90,https://www.avito.ma/fr/californie/appartements/appart_2ch_a_Hay_chrifa_bd_el_Qods__55488093.htm
"À louer, appartement meublé de 60 m² ain sbaa",3 900 DH,Casablanca,"Appartements, à vendre",1,2,1,60,https://www.avito.ma/fr/ain_sebaa/appartements/%C3%80_louer__appartement_meubl%C3%A9_de_60_m%C2%B2_ain_sbaa_55734208.htm
Appartement à louer prés des résidences Taïba,2 600 DH,El Jadida,NaN,1,NaN,NaN,92,https://www.avito.ma/fr/centre/appartements/Appartement_%C3%A0_louer_pr%C3%A9s_des_r%C3%A9sidences_Ta%C3%AFba__55734207.htm
Appartement à vendre 60 m² La Perle Bleue à Dakhla,562 500 DH,Dakhla,"Appartements, à vendre",1,3,1,60,https://www.avito.ma/fr/dakhla/appartements/Appartement_%C3%A0_vendre_60_m%C2%B2_La_Perle_Bleue_%C3%A0_Dakhla_55045162.htm
appart HSDG Neuf a Rés the loft sidi maarouf,4 500 DH,Casablanca,NaN,1,NaN,NaN,77,https://www.avito.ma/fr/sidi_maarouf/appartements/appart_HSDG_Neuf_a_R%C3%A9s_the_loft_sidi_maarouf__55459029.htm
Appartement à vendre 97 m² Rizq à Agadir,1 238 400 DH,Agadir,"Appartements, à vendre",1,3,1,97,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_97_m%C2%B2_Rizq_%C3%A0_Agadir_54715149.htm
Appartement à louer à Rabat Quartier Océan,3 200 DH,Rabat,NaN,1,NaN,NaN,60,https://www.avito.ma/fr/quartier_de_l'oc%C3%A9an/appartements/Appartement_%C3%A0_louer_%C3%A0_Rabat_Quartier_Oc%C3%A9an_55734201.htm
Appartement à vendre 44 m² à Casablanca,864 000 DH,Casablanca,"Appartements, à vendre",1,1,1,44,https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_%C3%A0_vendre_44_m%C2%B2_%C3%A0_Casablanca_55449791.htm
A VENDRE - APPARTEMENT SUR MAARIF QUARTIER BERGER,860 000 DH,Casablanca,"Appartements, à vendre",1,2,1,78,https://www.avito.ma/fr/maarif/appartements/A_VENDRE___APPARTEMENT_SUR_MAARIF_QUARTIER_BERGER_55711811.htm
Appartement à vendre 137 m² à Mohammedia Parc,NaN,Mohammedia,"Appartements, à vendre",2,NaN,NaN,137,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_137_m%C2%B2_%C3%A0_Mohammedia_Parc_55372550.htm
Appartement à louer 120 m² à Casablanca,NaN,Casablanca,NaN,2,NaN,NaN,120,https://www.avito.ma/fr/polo/appartements/Appartement_%C3%A0_louer_120_m%C2%B2_%C3%A0_Casablanca_55043184.htm
CMN-MA-1755 - Appartement à vendre à Racine,1 400 000 DH,Casablanca,"Appartements, à vendre",NaN,1,1,58,https://www.avito.ma/fr/racine/appartements/CMN_MA_1755___Appartement_%C3%A0_vendre_%C3%A0_Racine_55650826.htm
Appartement à vendre 103 m² à Marrakech,NaN,Marrakech,"Appartements, à vendre",1,NaN,NaN,103,https://www.avito.ma/fr/route_de_casablanca/appartements/Appartement_%C3%A0_vendre_103_m%C2%B2_%C3%A0_Marrakech_55035347.htm
Appartement 3 ch vide à louer à californie,10 500 DH,Casablanca,NaN,1,NaN,NaN,134,https://www.avito.ma/fr/californie/appartements/Appartement_3_ch_vide_%C3%A0_louer_%C3%A0_californie_55734196.htm
cozy studio tranquille,500 DH /Nuit,Rabat,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/haut_agdal/locations_de_vacances/cozy_studio_tranquille_55635262.htm
Appartement à louer 100 m² à Casablanca gauthier,8 000 DH,Casablanca,NaN,1,NaN,NaN,100,https://www.avito.ma/fr/gauthier/appartements/Appartement_%C3%A0_louer_100_m%C2%B2_%C3%A0_Casablanca_gauthier_55734185.htm
location appartement meublé,4 200 DH,Marrakech,NaN,1,NaN,NaN,50,https://www.avito.ma/fr/mabrouka/appartements/location_appartement_meubl%C3%A9__55734183.htm
joli appartement en location,470 DH /Nuit,Tanger,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/malabata/locations_de_vacances/joli_appartement_en_location_55612163.htm
Appartement LDV483 location de vacances à Agadir,NaN,Agadir,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/sonaba/locations_de_vacances/Appartement_LDV483_location_de_vacances_%C3%A0_Agadir_53120000.htm
Studio De luxe à quartion Racine 63 m2,NaN,Casablanca,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/racine/locations_de_vacances/Studio_De_luxe_%C3%A0_quartion_Racine_63_m2_52833529.htm
Appartement Spacieux au Cœur de Hay Riad,9 500 DH,Rabat,NaN,2,NaN,NaN,159,https://www.avito.ma/vi/55593495.htm
Appartement à louer pour vacances . LDV481,NaN,Agadir,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/vi/54273681.htm
Studio Spacieux 67 m2 0 Bd Ghandi,NaN,Casablanca,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/beaus%C3%A9jour/locations_de_vacances/Studio_Spacieux_67_m2_0_Bd_Ghandi__52833530.htm
Studio Magnifique à Bourgone 57 m2,NaN,Casablanca,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/bourgogne/locations_de_vacances/Studio_Magnifique_%C3%A0_Bourgone_57_m2_52833531.htm
Studio de Luxe Spacieux 2 chambre à Gauthier,NaN,Casablanca,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/gauthier/locations_de_vacances/Studio_de_Luxe_Spacieux_2_chambre_%C3%A0_Gauthier_52833532.htm
Studio location de Luxe à Les princesses,NaN,Casablanca,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/les_princesses/locations_de_vacances/Studio_location_de_Luxe_%C3%A0_Les_princesses_52833533.htm
Studio 55 m2 à Anfa,NaN,Casablanca,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/anfa/locations_de_vacances/Studio_55_m2_%C3%A0_Anfa___52833535.htm
Appart meublé familiale sans intermédiaire Wi-Fi,250 DH /Nuit,Tanger,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/hay_hassani/locations_de_vacances/Appart_meubl%C3%A9_familiale_sans_interm%C3%A9diaire_Wi_Fi_55178684.htm
Studio Prestigieux à 2 mars,NaN,Casablanca,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/2_mars/locations_de_vacances/Studio_Prestigieux_%C3%A0_2_mars_53734181.htm
Appartement prestigieux à CIL Courte durée,NaN,Casablanca,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/beaus%C3%A9jour/locations_de_vacances/Appartement_prestigieux_%C3%A0_CIL_Courte_dur%C3%A9e_53728314.htm
Appartement Haut standing à Maarif Courte durée,NaN,Casablanca,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/maarif/locations_de_vacances/Appartement_Haut_standing_%C3%A0_Maarif_Courte_dur%C3%A9e_53728274.htm
Appartement à louer pour vos vacances,NaN,Agadir,NaN,1,NaN,NaN,70,https://www.avito.ma/fr/sonaba/appartements/Appartement_%C3%A0_louer_pour_vos_vacances_53731627.htm
Appartement très spacieux cours durée,500 DH /Nuit,Casablanca,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/maarif/locations_de_vacances/Appartement_tr%C3%A8s_spacieux_cours_dur%C3%A9e__51716475.htm
Appartement à vendre 57m² à Marrakech,NaN,مراكش,"Appartements, à vendre",1,NaN,NaN,57,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_vendre_57m%C2%B2_%C3%A0_Marrakech_53715307.htm
appartement luxe sans samsar,200 DH /Nuit,Kénitra,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/el_haouzia/locations_de_vacances/appartement_luxe_sans_samsar_49764713.htm
location appartement meublé à quartier Gauthier,15 500 DH,Casablanca,NaN,1,NaN,NaN,200,https://www.avito.ma/fr/gauthier/appartements/location_appartement_meubl%C3%A9_%C3%A0_quartier_Gauthier__55625562.htm
Appartement 84 m² à Marrak 3 chambres salon,650 000 DH,Marrakech,"Appartements, à vendre",1,3,1,84,https://www.avito.ma/fr/autre_secteur/appartements/Appartement__84_m%C2%B2_%C3%A0_Marrak_3_chambres_salon__55651489.htm
Trés Bel Appartement à la plage de Achakar,315 DH /Nuit,Tanger,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/achakar/locations_de_vacances/Tr%C3%A9s_Bel_Appartement_%C3%A0_la_plage_de_Achakar__53314759.htm
Appartement à vendre 88 m² à Temara,1 650 000 DH,Temara,"Appartements, à vendre",1,3,2,88,https://www.avito.ma/fr/riad_oulad_mtaa/appartements/Appartement_%C3%A0_vendre_88_m%C2%B2_%C3%A0_Temara_55734165.htm
APPAREMMENT 118M CORNICHE A VENDRE,NaN,Mohammedia,"Appartements, à vendre",1,NaN,NaN,118,https://www.avito.ma/fr/corniche/appartements/APPAREMMENT_118M_CORNICHE_A_VENDRE_55711592.htm
Appartement de 96 m² à Beausejour Ghandi,5 000 DH,Casablanca,NaN,2,NaN,NaN,96,https://www.avito.ma/fr/beaus%C3%A9jour/appartements/Appartement_de_96_m%C2%B2_%C3%A0_Beausejour_Ghandi_55734152.htm
Appartement location de vacances à Agadir,NaN,Agadir,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/founty/locations_de_vacances/Appartement_location_de_vacances_%C3%A0_Agadir_52998754.htm
Appartement à louer sur Souissi Orangeraie,11 000 DH,Rabat,NaN,1,NaN,NaN,70,https://www.avito.ma/fr/souissi/appartements/Appartement_%C3%A0_louer_sur_Souissi_Orangeraie_55557966.htm
Appartement meublé à louer sur l'Agdal,9 500 DH,Rabat,NaN,1,NaN,NaN,100,https://www.avito.ma/fr/agdal/appartements/Appartement_meubl%C3%A9_%C3%A0_louer_sur_l_Agdal_55648139.htm
appartement a louer par jour,300 DH /Nuit,فاس,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/autre_secteur/locations_de_vacances/appartement_a_louer_par_jour__54653378.htm
Appartement de 112 m2 Agdal,250 DH /Nuit,Fès,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/agdal/locations_de_vacances/Appartement_de_112_m2_Agdal_29169634.htm
RAK-GU-1118 - Appartement à vendre à Issil,980 000 DH,Marrakech,"Appartements, à vendre",NaN,3,2,115,https://www.avito.ma/fr/issil/appartements/RAK_GU_1118___Appartement_%C3%A0_vendre_%C3%A0_Issil_55486494.htm
Appartement à louer 45 m² à Marrakech,6 500 DH,Marrakech,NaN,1,NaN,NaN,45,https://www.avito.ma/fr/victor_hugo/appartements/Appartement_%C3%A0_louer_45_m%C2%B2_%C3%A0_Marrakech_55734121.htm
Appartement meublé Fille 100m Beauséjour,5 500 DH,Casablanca,NaN,2,NaN,NaN,100,https://www.avito.ma/fr/beaus%C3%A9jour/appartements/Appartement_meubl%C3%A9_Fille_100m_Beaus%C3%A9jour_49158265.htm
Coquet appartement meublé LAYA,8 000 DH,Casablanca,NaN,1,NaN,NaN,100,https://www.avito.ma/fr/ferme_bretone/appartements/Coquet_appartement_meubl%C3%A9_LAYA__55638938.htm
joli appartement vide115m² a louer a Californie,5 500 DH,Casablanca,NaN,1,NaN,NaN,115,https://www.avito.ma/fr/californie/appartements/joli_appartement_vide115m%C2%B2_a_louer_a_Californie____55625517.htm
"App avec ascenseur et WiFi, proche de la mer anza",300 DH /Nuit,Agadir,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/anza/locations_de_vacances/App_avec_ascenseur_et_WiFi__proche_de_la_mer_anza_50760244.htm
Appartement à vendre 185 m² à Kénitra,1 300 000 DH,Kénitra,"Appartements, à vendre",1,3,1,185,https://www.avito.ma/fr/mimosas/appartements/Appartement_%C3%A0_vendre_185_m%C2%B2_%C3%A0_K%C3%A9nitra_55642876.htm
joli appartement,370 000 DH,Casablanca,"Appartements, à vendre",1,2,1,51,https://www.avito.ma/fr/sidi_moumen/appartements/joli_appartement_55734120.htm
meilleur CAISSE PALETTE/ PALOX 120*100 AJOURÉE,2 300 DH,Casablanca,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/zone_industrielle/autre_mat%C3%A9riel_professionel/meilleur_CAISSE_PALETTE__PALOX_120_100_AJOUR%C3%89E_43311632.htm
Appartement à louer 100 m² à Temara,5 500 DH,Temara,NaN,1,NaN,NaN,100,https://www.avito.ma/fr/riad_oulad_mtaa/appartements/Appartement_%C3%A0_louer_100_m%C2%B2_%C3%A0_Temara_55734119.htm
Appartement vide 55m2 (intermediaire s'abstenir),480 000 DH,Tanger,"Appartements, à vendre",1,2,1,55,https://www.avito.ma/fr/mesnana/appartements/Appartement_vide_55m2__intermediaire_s_abstenir__55734117.htm
Appartement Meublé À louer Par Jour,300 DH,Fès,NaN,2,NaN,NaN,90,https://www.avito.ma/vi/54762077.htm
Appt Grand Luxe sur Mer Bourgogne 2ch,590 DH /Nuit,Casablanca,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/vi/53808115.htm
Appartement à louer 115 m² à Casablanca,12 000 DH,Casablanca,NaN,1,NaN,NaN,115,https://www.avito.ma/fr/maarif/appartements/Appartement_%C3%A0_louer_115_m%C2%B2_%C3%A0_Casablanca_55650792.htm
Sublime App 2ch à Fal Green Bouskoura,6 500 DH,Bouskoura,NaN,1,NaN,NaN,80,https://www.avito.ma/fr/bouskoura_centre/appartements/Sublime_App_2ch_%C3%A0_Fal_Green_Bouskoura_55711529.htm
Magnifique appartement 115 m² 2 mars,1 550 000 DH,Casablanca,"Appartements, à vendre",1,3,2,115,https://www.avito.ma/fr/2_mars/appartements/Magnifique_appartement_115_m%C2%B2__2_mars__55634811.htm
appartement a louer par jour,NaN,Casablanca,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/maarif/locations_de_vacances/appartement_a_louer_par_jour__55260007.htm
Appartement terrasse meublé 115 Gauthier,10 000 DH,Casablanca,NaN,1,NaN,NaN,115,https://www.avito.ma/fr/gauthier/appartements/Appartement_terrasse_meubl%C3%A9_115_Gauthier_54685614.htm
Maison et Villas location de vacances à El Jadida,250 DH /Nuit,El Jadida,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/autre_secteur/locations_de_vacances/Maison_et_Villas_location_de_vacances_%C3%A0_El_Jadida_53235548.htm
bel appartement familial dans un quartier calme,199 DH /Nuit,Essaouira,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/borj/locations_de_vacances/bel_appartement_familial_dans_un_quartier_calme__55734113.htm
Colocation Fille meublé Palmier Abdemoumen,3 250 DH,Casablanca,NaN,1,NaN,NaN,80,https://www.avito.ma/fr/maarif/colocations/Colocation_Fille_meubl%C3%A9_Palmier_Abdemoumen_55660258.htm
Appartement à louer 70 m² à Settat,2 600 DH,Settat,NaN,2,NaN,NaN,70,https://www.avito.ma/fr/settat/appartements/Appartement_%C3%A0_louer_70_m%C2%B2_%C3%A0_Settat_55734111.htm
Appartement meublé 50 Hôpitaux,4 500 DH,Casablanca,NaN,1,NaN,NaN,50,https://www.avito.ma/fr/maarif/appartements/Appartement_meubl%C3%A9_50_H%C3%B4pitaux_49663024.htm
Appartement à vendre dans un excellent emplacement,400 000 DH,Marrakech,"Appartements, à vendre",1,2,1,64,https://www.avito.ma/fr/route_de_casablanca/appartements/Appartement_%C3%A0_vendre_dans_un_excellent_emplacement_55536048.htm
Appartement calm et sécurisée avec wifi,300 DH /Nuit,Agadir,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/hay_massira/locations_de_vacances/Appartement_calm_et_s%C3%A9curis%C3%A9e_avec_wifi_55109315.htm
Appartement en location journalière maarif,580 DH /Nuit,Casablanca,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/maarif/locations_de_vacances/Appartement_en_location_journali%C3%A8re_maarif_52959863.htm
Appartement location de vacances à Agadir,NaN,Agadir,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/founty/locations_de_vacances/Appartement_location_de_vacances_%C3%A0_Agadir_52948567.htm
Appartement haut standing secteur 23,3 400 000 DH,Rabat,"Appartements, à vendre",2,3,2,150,https://www.avito.ma/fr/hay_riad/appartements/Appartement_haut_standing_secteur_23_53741768.htm
Appartement au cœur de gueliz 1,300 DH /Nuit,Marrakech,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/gu%C3%A9liz/locations_de_vacances/Appartement_au_c_ur_de_gueliz_1_55498455.htm
RAK-GU-1101 - Appartement à vendre à Ouasis,1 100 000 DH,Marrakech,"Appartements, à vendre",NaN,2,2,108,https://www.avito.ma/fr/hay_izdihar/appartements/RAK_GU_1101___Appartement_%C3%A0_vendre_%C3%A0_Ouasis_55187227.htm
RAK-GU-1106 - Appartement à vendre à Izdihar,850 000 DH,Marrakech,"Appartements, à vendre",NaN,2,2,80,https://www.avito.ma/fr/hay_izdihar/appartements/RAK_GU_1106___Appartement_%C3%A0_vendre_%C3%A0_Izdihar_55210368.htm
Appartement à vendre 64 m² à Casablanca,8 500 DH,Casablanca,"Appartements, à vendre",NaN,2,NaN,64,https://www.avito.ma/fr/sidi_bernoussi/appartements/Appartement_%C3%A0_vendre_64_m%C2%B2_%C3%A0_Casablanca_37621456.htm
Agdal Apt de 110 m² à usage de bureaux,8 000 DH,Rabat,NaN,1,NaN,NaN,110,https://www.avito.ma/fr/agdal/appartements/Agdal_Apt_de_110_m%C2%B2_%C3%A0_usage_de_bureaux__55496839.htm
Océan Apt à vendre 77 m²,1 160 000 DH,Rabat,"Appartements, à vendre",2,2,1,77,https://www.avito.ma/fr/quartier_de_l'oc%C3%A9an/appartements/Oc%C3%A9an_Apt_%C3%A0_vendre_77_m%C2%B2_55097029.htm
Appartement à louer 70 m² à Mehdia,2 800 DH,Mehdia,NaN,1,NaN,NaN,70,https://www.avito.ma/fr/mehdia/appartements/Appartement_%C3%A0_louer_70_m%C2%B2_%C3%A0_Mehdia_55734092.htm
appartement à mahjriad,8 500 DH,Rabat,NaN,2,NaN,NaN,136,https://www.avito.ma/fr/hay_riad/appartements/appartement_%C3%A0_mahjriad__55692868.htm
MARINA - APPARTEMENT DE LUXE A LOCATION JOURNALIER,3 000 DH /Nuit,Casablanca,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/marina/locations_de_vacances/MARINA___APPARTEMENT_DE_LUXE_A_LOCATION_JOURNALIER__55667943.htm
Appartement à Marina Blanca,1 700 000 DH,Dar Bouazza,"Appartements, à vendre",1,2,2,98,https://www.avito.ma/fr/dar_bouazza/appartements/Appartement_%C3%A0_Marina_Blanca_54401684.htm
Appartement 100 m² à Casablanca,4 000 DH,Casablanca,NaN,1,NaN,NaN,100,https://www.avito.ma/fr/lissasfa/appartements/Appartement_100_m%C2%B2_%C3%A0_Casablanca_55456690.htm
Appartement à vendre 60 m² à Mohammedia,NaN,Mohammedia,"Appartements, à vendre",1,NaN,NaN,60,https://www.avito.ma/fr/el_alia/appartements/Appartement_%C3%A0_vendre_60_m%C2%B2_%C3%A0_Mohammedia_55734081.htm
Appartement Sidi Bernoussi Résidences Al Badr,7 200 DH,Casablanca,"Appartements, à vendre",NaN,3,100,49,https://www.avito.ma/fr/sidi_bernoussi/appartements/Appartement_Sidi_Bernoussi_R%C3%A9sidences_Al_Badr_37621281.htm
Appartement 100 m² à Martil,250 DH /Nuit,Martil,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/martil/locations_de_vacances/Appartement_100_m%C2%B2_%C3%A0_Martil_55734073.htm
Appartement à louer 5 minutes a hay riyd,5 500 DH,Temara,NaN,1,NaN,NaN,100,https://www.avito.ma/fr/riad_oulad_mtaa/appartements/Appartement_%C3%A0_louer_5_minutes_a_hay_riyd_55716711.htm
Appartement à vendre 108 m² à Nouaceur,1 039 000 DH,Nouaceur,"Appartements, à vendre",2,2,2,108,https://www.avito.ma/fr/nouaceur/appartements/Appartement_%C3%A0_vendre_108_m%C2%B2_%C3%A0_Nouaceur_55658309.htm
Appartement à vendre 53 m² à errahma sans meubles,280 000 DH,Casablanca,"Appartements, à vendre",1,2,2,53,https://www.avito.ma/fr/errahma/appartements/Appartement_%C3%A0_vendre_53_m%C2%B2_%C3%A0_errahma_sans_meubles_55505449.htm
Appartement à louer,3 500 DH,Meknès,NaN,1,NaN,NaN,110,https://www.avito.ma/fr/hamria/appartements/Appartement_%C3%A0_louer__55734066.htm
appartement Neuf a RTE D'imouzzar,7 270 DH,Fès,"Appartements, à vendre",2,3,2,106,https://www.avito.ma/fr/route_d'immouzere/appartements/appartement_Neuf_a_RTE_D_imouzzar__55325570.htm
Luxury Appartement La Corniche Rabat - Essabah,850 DH /Nuit,Rabat,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/vi/55713764.htm
Appartement à vendre 94 m² à Casablanca,750 000 DH,Casablanca,"Appartements, à vendre",1,3,2,94,https://www.avito.ma/vi/55613938.htm
APPT NEUF LOCATION LES HÔPITAUX,6 500 DH,Casablanca,NaN,1,NaN,NaN,88,https://www.avito.ma/fr/quartier_des_h%C3%B4pitaux/appartements/APPT_NEUF_LOCATION_LES_H%C3%94PITAUX__55734061.htm
Appartement meuble,2 700 DH,Inzegan,NaN,1,NaN,NaN,54,https://www.avito.ma/fr/inzegan/appartements/Appartement_meuble__55734048.htm
appartement 130m2 tanger Gzenaya,900 000 DH,Tanger,"Appartements, à vendre",1,3,2,90,https://www.avito.ma/fr/autre_secteur/appartements/appartement_130m2_tanger_Gzenaya_55537297.htm
appartement à louer,3 500 DH,Rabat,NaN,1,NaN,NaN,70,https://www.avito.ma/fr/el_youssoufia/appartements/appartement_%C3%A0_louer_55655867.htm
Appartement à louer NMI206,7 000 DH,Tanger,NaN,1,NaN,NaN,100,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_louer_NMI206_55535465.htm
Appartement à vendre 82 m² 4 min de la plage,640 000 DH,El Jadida,"Appartements, à vendre",1,2,2,82,https://www.avito.ma/fr/corniche/appartements/Appartement_%C3%A0_vendre_82_m%C2%B2_4_min_de_la_plage_55525682.htm
Appartement luxueux Vue sur jardin,7 500 DH,El Jadida,NaN,2,NaN,NaN,95,https://www.avito.ma/fr/corniche/appartements/Appartement_luxueux_Vue_sur_jardin_55685284.htm
Appartement à vendre AL assil hay Mohmmadi,NaN,Casablanca,"Appartements, à vendre",1,NaN,NaN,60,https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_%C3%A0_vendre_AL_assil_hay_Mohmmadi_55539098.htm
Appartement à vendre 165 m² à Casablanca,1 200 000 DH,Casablanca,"Appartements, à vendre",1,2,2,165,https://www.avito.ma/fr/belv%C3%A9d%C3%A8re/appartements/Appartement_%C3%A0_vendre_165_m%C2%B2_%C3%A0_Casablanca_55628881.htm
appartement bien situé,350 DH /Nuit,Marrakech,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/mabrouka/locations_de_vacances/appartement_bien_situ%C3%A9__55687678.htm
Appartement à vendre 36 m² à Casablanca,980 000 DH,Casablanca,"Appartements, à vendre",1,1,1,36,https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_%C3%A0_vendre_36_m%C2%B2_%C3%A0_Casablanca_55452214.htm
"Appartement 91 m²à Amerchich, Marrakech",600 000 DH,Marrakech,"Appartements, à vendre",2,1,1,91,https://www.avito.ma/fr/amerchich/appartements/Appartement_91_m%C2%B2%C3%A0_Amerchich__Marrakech_55734030.htm
Charmant Appartement a Maârif,400 DH /Nuit,Casablanca,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/maarif/locations_de_vacances/Charmant_Appartement_a_Ma%C3%A2rif_54166652.htm
Appartement à vendre 94 m² à Casablanca,750 000 DH,Casablanca,"Appartements, à vendre",1,3,2,94,https://www.avito.ma/fr/sidi_bernoussi/appartements/Appartement_%C3%A0_vendre_94_m%C2%B2_%C3%A0_Casablanca_55613938.htm
