title,price,location,type_de_vente,salon,chamber,toilete,area,link
Appartement de 157 m² au quartier des hôpitaux,8 000 DH,Casablanca,NaN,3,NaN,NaN,157,https://www.avito.ma/fr/quartier_des_h%C3%B4pitaux/appartements/Appartement_de_157_m%C2%B2_au_quartier_des_h%C3%B4pitaux_55653145.htm
Appartement 88m Neuf A Ferme Bretone,1 540 000 DH,Casablanca,"Appartements, à vendre",1,2,2,88,https://www.avito.ma/fr/ferme_bretone/appartements/Appartement_88m_Neuf_A_Ferme_Bretone__54631498.htm
Appartement bien équipé par nuit DBK974,250 DH /Nuit,Agadir,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/hay_salam/locations_de_vacances/Appartement_bien_%C3%A9quip%C3%A9_par_nuit_DBK974_54236187.htm
Appartement à vendre m² à Agadir,640 000 DH,Agadir,"Appartements, à vendre",1,2,2,65,https://www.avito.ma/fr/hay_salam/appartements/Appartement_%C3%A0_vendre__m%C2%B2_%C3%A0_Agadir_54102042.htm
Appartement à vendre 247 m² à Marrakech,2 600 000 DH,Marrakech,"Appartements, à vendre",2,3,2,247,https://www.avito.ma/fr/route_de_casablanca/appartements/Appartement_%C3%A0_vendre_247_m%C2%B2_%C3%A0_Marrakech_55714071.htm
appartement meublé à louer,250 DH /Nuit,Fès,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/route_d'immouzere/locations_de_vacances/appartement_meubl%C3%A9_%C3%A0_louer__52962261.htm
Appartement à vendre 95 m² à Agadir,NaN,Agadir,"Appartements, à vendre",1,NaN,NaN,95,https://www.avito.ma/fr/hay_salam/appartements/Appartement_%C3%A0_vendre_95_m%C2%B2_%C3%A0_Agadir_54974593.htm
Appartement à louer 160 m² à Rabat,18 000 DH,Rabat,NaN,1,NaN,NaN,160,https://www.avito.ma/fr/souissi/appartements/Appartement_%C3%A0_louer_160_m%C2%B2_%C3%A0_Rabat_55589966.htm
bel appartement au centre de Casablanca,2 100 000 DH,Casablanca,"Appartements, à vendre",1,3,3,164,https://www.avito.ma/fr/la_gironde/appartements/bel_appartement_au_centre_de_Casablanca__55713854.htm
Appartement 90m Meublé Luxe À CFC,12 000 DH,Casablanca,NaN,1,NaN,NaN,90,https://www.avito.ma/fr/casablanca_finance_city/appartements/Appartement_90m_Meubl%C3%A9_Luxe_%C3%80_CFC__55387747.htm
شقة راقية بدون سمسار,200 DH /Nuit,Tanger,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/hay_hassani/locations_de_vacances/%D8%B4%D9%82%D8%A9_%D8%B1%D8%A7%D9%82%D9%8A%D8%A9_%D8%A8%D8%AF%D9%88%D9%86_%D8%B3%D9%85%D8%B3%D8%A7%D8%B1_49635468.htm
appartement en location journalier à malabata,399 DH /Nuit,Tanger,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/malabata/locations_de_vacances/appartement_en_location_journalier_%C3%A0_malabata_54660389.htm
Très belle appartement familiale,500 DH /Nuit,Marrakech,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/vi/55640704.htm
Appartement économique à vendre,190 000 DH,Salé,"Appartements, à vendre",1,2,1,55,https://www.avito.ma/vi/54265071.htm
Appartement à vendre 93 m² à Kénitra,NaN,Kénitra,"Appartements, à vendre",1,NaN,NaN,93,https://www.avito.ma/fr/maamora/appartements/Appartement_%C3%A0_vendre_93_m%C2%B2_%C3%A0_K%C3%A9nitra_55732636.htm
✅appartement haut standing ✅,500 DH /Nuit,Casablanca,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/anfa/locations_de_vacances/_appartement_haut_standing___55732635.htm
Appartement bien meublé et bonne qualité D8,250 DH /Nuit,Agadir,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/hay_salam/locations_de_vacances/Appartement_bien_meubl%C3%A9_et_bonne_qualit%C3%A9_D8_55566877.htm
appartement à louer a Agdal en face Macdonald,7 000 DH,Rabat,NaN,1,NaN,NaN,90,https://www.avito.ma/fr/agdal/appartements/appartement_%C3%A0_louer_a_Agdal_en_face_Macdonald__55732624.htm
Appartement équipé,300 DH /Nuit,Marrakech,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/centre_ville/locations_de_vacances/Appartement_%C3%A9quip%C3%A9__55732627.htm
Appart 100m Meublé Neuf A Bachkou Proche Jerrada,10 000 DH,Casablanca,NaN,1,NaN,NaN,100,https://www.avito.ma/fr/bachkou/appartements/Appart_100m_Meubl%C3%A9_Neuf_A_Bachkou_Proche_Jerrada__55633746.htm
appartement à vendre 73 m² à Bouskoura,600 000 DH,Bouskoura,"Appartements, à vendre",1,3,2,73,https://www.avito.ma/fr/bouskoura_centre/appartements/appartement__%C3%A0_vendre_73_m%C2%B2_%C3%A0_Bouskoura_55467079.htm
luxe appartement a prestigia,1 200 DH /Nuit,Marrakech,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/agdal/locations_de_vacances/luxe_appartement_a_prestigia__52410824.htm
Appartement 82m Proche Casaneachor,4 800 DH,Casablanca,NaN,1,NaN,NaN,80,https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_82m_Proche_Casaneachor__55581690.htm
Appartement à louer 45 m² à Casablanca,7 000 DH,Casablanca,NaN,1,NaN,NaN,45,https://www.avito.ma/fr/quartier_des_h%C3%B4pitaux/appartements/Appartement_%C3%A0_louer_45_m%C2%B2_%C3%A0_Casablanca_55703415.htm
Appartement a Fès,250 DH /Nuit,Fès,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/agdal/locations_de_vacances/Appartement_a_F%C3%A8s_29169782.htm
Appartement modern A GUELIZ MARRAKECH,350 DH /Nuit,Marrakech,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/gu%C3%A9liz/locations_de_vacances/Appartement_modern_A_GUELIZ_MARRAKECH__55435486.htm
Appartement à vendre 110 m² à Casablanca Nouaceur,1 100 000 DH,Casablanca,"Appartements, à vendre",1,2,1,110,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_110_m%C2%B2_%C3%A0_Casablanca_Nouaceur_54946725.htm
Appartement 2 cham salon Location de vacances CFC,1 000 DH /Nuit,Casablanca,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/casablanca_finance_city/locations_de_vacances/Appartement_2_cham_salon_Location_de_vacances_CFC_55619419.htm
Appartement à vendre 117 m² à Kénitra,NaN,Kénitra,"Appartements, à vendre",2,NaN,NaN,117,https://www.avito.ma/fr/la_ville_haute/appartements/Appartement_%C3%A0_vendre_117_m%C2%B2_%C3%A0_K%C3%A9nitra_54593226.htm
Appartement à vendre vue sur mer,NaN,Casablanca,"Appartements, à vendre",1,NaN,NaN,74,https://www.avito.ma/fr/bourgogne/appartements/Appartement_%C3%A0_vendre_vue_sur_mer_55337444.htm
Appartement a louer pour vos vacances à Sidi Rahal,NaN,Sidi Rahal,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/sidi_rahal/locations_de_vacances/Appartement_a_louer_pour_vos_vacances_%C3%A0_Sidi_Rahal_55204961.htm
Appartement à louer à 2Mars à Casa,8 000 DH,Casablanca,NaN,2,NaN,NaN,176,https://www.avito.ma/fr/2_mars/appartements/Appartement_%C3%A0_louer_%C3%A0_2Mars_%C3%A0_Casa_55725535.htm
Maison de 5 appartement et une magasin à vendre,800 000 DH,Meknès,NaN,0,1,0,110,https://www.avito.ma/fr/wislane/maisons_et_villas/Maison_de_5_appartement_et_une_magasin_%C3%A0_vendre__55611379.htm
Appart 86m Meublé Sans Vis à vis A Les Princesses,7 800 DH,Casablanca,NaN,1,NaN,NaN,86,https://www.avito.ma/fr/les_princesses/appartements/Appart_86m_Meubl%C3%A9_Sans_Vis_%C3%A0_vis_A_Les_Princesses__55627755.htm
Appartement à vendre 125 m² à Nouaceur,NaN,Nouaceur,"Appartements, à vendre",2,NaN,NaN,125,https://www.avito.ma/fr/nouaceur/appartements/Appartement_%C3%A0_vendre_125_m%C2%B2_%C3%A0_Nouaceur_55205215.htm
appartement a louer par jour,300 DH /Nuit,فاس,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/autre_secteur/locations_de_vacances/appartement_a_louer_par_jour__51814895.htm
Appartement 112m Haut Standing A Riviera,6 000 DH,Casablanca,NaN,1,NaN,NaN,112,https://www.avito.ma/fr/riviera/appartements/Appartement_112m_Haut_Standing_A_Riviera__55585936.htm
Appartement meublé 54 m² à Gauthier,8 000 DH,Casablanca,NaN,1,NaN,NaN,54,https://www.avito.ma/fr/gauthier/appartements/Appartement_meubl%C3%A9_54_m%C2%B2_%C3%A0_Gauthier_55732608.htm
collocation chambre,2 500 DH,Tanger,NaN,1,NaN,NaN,70,https://www.avito.ma/fr/hay_hassani/appartements/collocation_chambre__55732607.htm
Appartement à vendre 52 m² à Mohammedia,NaN,Mohammedia,"Appartements, à vendre",1,NaN,NaN,52,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_52_m%C2%B2_%C3%A0_Mohammedia_55732601.htm
Appartement 75m Om Rabiaa Oulfa,700 000 DH,Casablanca,"Appartements, à vendre",1,2,2,75,https://www.avito.ma/fr/oulfa/appartements/Appartement_75m_Om_Rabiaa_Oulfa_55252617.htm
Appartement à louer 120 m² à Fès,2 200 DH,Fès,NaN,2,NaN,NaN,120,https://www.avito.ma/fr/narjis/appartements/Appartement_%C3%A0_louer_120_m%C2%B2_%C3%A0_F%C3%A8s_55732591.htm
Appartement familial à louer,3 000 DH,Tanger,NaN,1,NaN,NaN,70,https://www.avito.ma/fr/val_fleuri/appartements/Appartement_familial_%C3%A0_louer__55732590.htm
Joli appartement à louer (non meublé),13 000 DH,Casablanca,NaN,1,NaN,NaN,160,https://www.avito.ma/fr/anfa/appartements/Joli_appartement_%C3%A0_louer__non_meubl%C3%A9__55541761.htm
appartement pour vacances,200 DH /Nuit,Marrakech,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/mabrouka/locations_de_vacances/appartement_pour_vacances_55101811.htm
